2020-06-30 12:29:24,651 | INFO | AbstractLogger.java 386 | Detected and using LRUCacheFactory: camel-caffeine-lrucache
2020-06-30 12:29:25,774 | INFO | AbstractLogger.java 393 | Apache Camel 3.4.0 (camel-1) is starting
2020-06-30 12:29:25,777 | INFO | AbstractLogger.java 382 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-06-30 12:29:25,777 | INFO | AbstractLogger.java 386 | Using HealthCheck: camel-health
2020-06-30 12:29:25,794 | INFO | AbstractLogger.java 382 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-06-30 12:29:25,795 | INFO | AbstractLogger.java 386 | Using default memory based idempotent repository with cache max size: 1000
2020-06-30 12:29:25,838 | INFO | AbstractLogger.java 382 | Route: route1 started and consuming from: file://data/input2
2020-06-30 12:29:25,841 | INFO | AbstractLogger.java 393 | Total 1 routes, of which 1 are started
2020-06-30 12:29:25,842 | INFO | AbstractLogger.java 403 | Apache Camel 3.4.0 (camel-1) started in 0.066 seconds
2020-06-30 12:29:26,881 | INFO | AbstractLogger.java 382 | read file New1 along with headers {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input2\file1, CamelFileLastModified=1593463199846, CamelFileLength=4, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input2, CamelFilePath=data\input2\file1, CamelFileRelativePath=file1}
2020-06-30 12:29:26,887 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input2\file1, CamelFileLastModified=1593463199846, CamelFileLength=4, CamelFileName=file1, CamelFileNameConsumed=file1, CamelFileNameOnly=file1, CamelFileParent=data\input2, CamelFilePath=data\input2\file1, CamelFileRelativePath=file1}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file1]]]
2020-06-30 12:29:26,912 | INFO | AbstractLogger.java 382 | read file NewCode along with headers {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input2\file2, CamelFileLastModified=1593463212590, CamelFileLength=7, CamelFileName=file2, CamelFileNameConsumed=file2, CamelFileNameOnly=file2, CamelFileParent=data\input2, CamelFilePath=data\input2\file2, CamelFileRelativePath=file2}
2020-06-30 12:29:26,912 | INFO | AbstractLogger.java 382 | Exchange[ExchangePattern: InOnly, Headers: {CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\Debajoy\IdeaProjects\ApacheCamel\data\input2\file2, CamelFileLastModified=1593463212590, CamelFileLength=7, CamelFileName=file2, CamelFileNameConsumed=file2, CamelFileNameOnly=file2, CamelFileParent=data\input2, CamelFilePath=data\input2\file2, CamelFileRelativePath=file2}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2]]]
2020-06-30 12:29:30,844 | INFO | AbstractLogger.java 382 | ********************************************************************************
2020-06-30 12:29:30,844 | INFO | AbstractLogger.java 382 | Testing done: checkOutpoutDirectory(TestCamelProcessor)
2020-06-30 12:29:30,845 | INFO | AbstractLogger.java 382 | Took: 5.000 seconds (5000 millis)
